TWEETS,ANALYSIS,FAVS,RTS,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @mattaaron: Latest Humans of Bitcoin podcast. Learn about ecommerce and crypto for the travel industry with Matt of @travalacom. Lis___","Sentiment(polarity=0.5, subjectivity=0.9)",0,11,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @proofofsteph: That___s why I think sending free bitcoins to nocoiners is a waste! Cashing out now to buy a kitchen lol it literally could___,"Sentiment(polarity=0.3166666666666667, subjectivity=0.5)",0,5,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Crypto #Blockchain #SWACE ‚_#SWACETOKEN #ether #ethereum #bitcoin #cryptocurrency #IEO https://t.co/kTanVelfeA,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @BankXRP: U.K. Chancellor of the Exchequer Philip Hammond explains why governments are so worried about Facebook's Libra $FB #btc #bitco___,"Sentiment(polarity=0.0, subjectivity=0.0)",0,52,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it also gotta be able to sync its body with other computers so I can hack cash and bitcoin ATMs,"Sentiment(polarity=0.1875, subjectivity=0.5)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @Crypto_Core: My god, may as well be a speech on #Bitcoin. https://t.co/JIx04daUcM","Sentiment(polarity=0.0, subjectivity=0.0)",0,861,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Libra; they can crushBitcoin; they can't crush","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @PompousLL: Thanks to bitcoin, I___m back at McDonald___s and the wassie is in the deep fryer #bearmarkettings https://t.co/GSPxooucPW","Sentiment(polarity=0.06666666666666667, subjectivity=0.20000000000000004)",0,2,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keeping up with Bitcoin is a full time job. Not a 9-5, but a 24/7 obsession.","Sentiment(polarity=0.35, subjectivity=0.55)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7/16/2019Bitcoin's price has been sitting around 10,000$ the past few weeks. First prediction is that Bitcoin wil___ https://t.co/2BeFxV1L5c","Sentiment(polarity=-0.06666666666666667, subjectivity=0.22777777777777777)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @DJKhaledCrypto: BTCD just got rejected at the resistance, under 69 right now.Some hopium for $ALTS, as $XRP makes it's first move up.___","Sentiment(polarity=0.26785714285714285, subjectivity=0.43452380952380953)",0,1,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@binarydreaming @melikmanukyan LOL the air is EVEN THINNER today#bitcoin","Sentiment(polarity=0.8, subjectivity=0.7)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @Reuters: Bitcoin falls below $10,000 after Facebook grilled on crypto plans https://t.co/VE6KnXjw8P https://t.co/T4IwONzIob","Sentiment(polarity=0.0, subjectivity=0.0)",0,26,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@CryptoBora Altlar dê_Å_mez dedim ve dedikê_e dê_Å_tê_. ..artæ±k bu kadar dê_Å_mez dedim yine dê_Å_tê_.Ard arda dê_Å_ê_rmezler d___ https://t.co/x5SPuHEPF9","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlockSafe Technologies Inc., has developed products that secure the blockchainecosystem (wallets, exchanges and pr___ https://t.co/lR3EWQvSIB","Sentiment(polarity=0.25, subjectivity=0.44999999999999996)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bitcoin slid below $10,000 as U.S. legislators expressed deep skepticism about the viability of cryptocurrencies https://t.co/MDrwgaAbgv","Sentiment(polarity=0.0, subjectivity=0.4)",0,1,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love doing these bitcoin supersets at the end of a sesh, not only does it fortify you, but you jettison the passengers.","Sentiment(polarity=0.25, subjectivity=0.8)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoin And Crypto Suddenly Branded A 'National Security Issue' https://t.co/xUeIIYkaoY,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @KevinLWalker: Bitcoin is like Goldhttps://t.co/ma1yRDoP0h","Sentiment(polarity=0.0, subjectivity=0.0)",0,29,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @APompliano: Bitcoin went from the basements and black markets to the Federal Reserve, Treasury, and White House in just 10 years.We c_Ê_","Sentiment(polarity=-0.08333333333333333, subjectivity=0.21666666666666667)",0,224,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @GemCrypto: Why the whole banking system is a scam.  Filmed nearly 5 years ago!! Let's share these videos so that the transition is smoo_Ê_,"Sentiment(polarity=0.178125, subjectivity=0.4)",0,1732,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @koinmedya_: IMF'den beklenmedik ê_ ±k ±Å_: ""Kripto paralar geleneksel para tê_rlerini dê_nê_Å_tê_rebilir"" https://t.co/kGEBaWaVMi #btc #bitcoin_Ê_","Sentiment(polarity=0.0, subjectivity=0.0)",0,2,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Company has anagreement to list the token ona SEC compliant exchange. #BlockSafe #BSAFE #STO #bitcoin #btc and #cryptocurrency","Sentiment(polarity=-0.1, subjectivity=0.6)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My analysis on why Bitcoin is going to $80K https://t.co/JF0TP6SVVX,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @damskotrades: Bitcoin dominanceTook out the target and closed below. Daily from today took the highs and looks like it wants to clo_Ê_","Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0,1,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks MDMIZANUR RAHMAN for following me! Tell your friends.. #bitcoin and #ethereum in the house! Follow our compa_Ê_ https://t.co/lbVH3WP7zH,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@scottmelker #BTCUSD Logical place to bounce from here but could get one more swoop down to shake early longs.Fun_Ê_ https://t.co/2KEMKgqBFz","Sentiment(polarity=0.1736111111111111, subjectivity=0.33472222222222225)",0,0,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @whale_alert: 800 #BTC (7,813,860 USD) transferred from unknown wallet to #BitstampTx: https://t.co/q3RXw1t96I","Sentiment(polarity=-0.1, subjectivity=0.6)",0,1,7/16/19 13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bitcoin falls back below $10,000, losing a fourth of its value in a week https://t.co/WCk21OeHcm","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Poloniex @Tronfoundation How to get rid of all the USDT you printed to buy Bitcoin?? ... you airdrop them as a ""gift"" - genius! _éä_","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @APompliano: Bitcoin went from the basements and black markets to the Federal Reserve, Treasury, and White House in just 10 years.We c_‹_","Sentiment(polarity=-0.08333333333333333, subjectivity=0.21666666666666667)",0,287,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merhaba ê_ncelikle belirtmeliyim 2021 son ê_eyrekte bitcoin 300.000 $ olmasã±nã± bekleyen ve hedefleyen birisi olarak y_‹_ https://t.co/2IVoRqJ1ab,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @rahulsood: @barrysilbert 1 ton of gold is worth around 63 million USD right now, I could carry 63 million worth of Bitcoin on a piece o_‹_","Sentiment(polarity=0.29523809523809524, subjectivity=0.24523809523809523)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @ChartsBtc: You are here #Bitcoin https://t.co/Rv6GaTsCuZ,"Sentiment(polarity=0.0, subjectivity=0.0)",0,7,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_é_‹ El bitcoin traerêç consecuencias devastadoras para el planeta en menos de 2 dê©cadas https://t.co/bsV9JVclJN,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @KevinLWalker: Bitcoin is like Goldhttps://t.co/ma1yRDoP0h","Sentiment(polarity=0.0, subjectivity=0.0)",0,28,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @_unwriter: This is really cool.Pay $1 with @money_button to set up a worker bot that auto-replicates your @twetchapp Bitcoin Mainnet_‹_","Sentiment(polarity=0.35, subjectivity=0.65)",0,27,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @NeedBucksNow: https://t.co/4IuPEuKeh1 I_‹_ve made $272 today! Click and join for $25 free! Get paid for sharing with check, paypal, casha_‹_","Sentiment(polarity=0.5, subjectivity=0.8)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs Jane McGrath_‹_s invested in bitcoin and was able pay off her debt.Invest in bitcoin today! https://t.co/vDBknmYC6M","Sentiment(polarity=0.625, subjectivity=0.625)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@cdtswa @BobLoukas It_‹_s just going to take longer to convince them of it because they haven_‹_t seen inflation of the_‹_ https://t.co/LU8xtiKSeL,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This guy is right tho https://t.co/NT7JGKLCt6","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethereum's Vitalik Buterin Explores Integration With Bitcoin Cash https://t.co/zzVvd9LP2E,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Rep. Kevin McCarthy Praises Bitcoin while Criticizing Libra CRYPTO CRYPTO NEWS - https://t.co/tHD4sNXY8Y,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Poloniex @Tronfoundation How to get rid of all the USDT you printed to buy Bitcoin?? ... you airdrop them as a ""gift"" - genius! _éä_","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @APompliano: Bitcoin went from the basements and black markets to the Federal Reserve, Treasury, and White House in just 10 years.We c_‹_","Sentiment(polarity=-0.08333333333333333, subjectivity=0.21666666666666667)",0,287,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merhaba ê_ncelikle belirtmeliyim 2021 son ê_eyrekte bitcoin 300.000 $ olmasã±nã± bekleyen ve hedefleyen birisi olarak y_‹_ https://t.co/2IVoRqJ1ab,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @rahulsood: @barrysilbert 1 ton of gold is worth around 63 million USD right now, I could carry 63 million worth of Bitcoin on a piece o_‹_","Sentiment(polarity=0.29523809523809524, subjectivity=0.24523809523809523)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @ChartsBtc: You are here #Bitcoin https://t.co/Rv6GaTsCuZ,"Sentiment(polarity=0.0, subjectivity=0.0)",0,7,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_é_‹ El bitcoin traerêç consecuencias devastadoras para el planeta en menos de 2 dê©cadas https://t.co/bsV9JVclJN,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @KevinLWalker: Bitcoin is like Goldhttps://t.co/ma1yRDoP0h","Sentiment(polarity=0.0, subjectivity=0.0)",0,28,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @_unwriter: This is really cool.Pay $1 with @money_button to set up a worker bot that auto-replicates your @twetchapp Bitcoin Mainnet_‹_","Sentiment(polarity=0.35, subjectivity=0.65)",0,27,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @NeedBucksNow: https://t.co/4IuPEuKeh1 I_‹_ve made $272 today! Click and join for $25 free! Get paid for sharing with check, paypal, casha_‹_","Sentiment(polarity=0.5, subjectivity=0.8)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs Jane McGrath_‹_s invested in bitcoin and was able pay off her debt.Invest in bitcoin today! https://t.co/vDBknmYC6M","Sentiment(polarity=0.625, subjectivity=0.625)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@cdtswa @BobLoukas It_‹_s just going to take longer to convince them of it because they haven_‹_t seen inflation of the_‹_ https://t.co/LU8xtiKSeL,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This guy is right tho https://t.co/NT7JGKLCt6","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethereum's Vitalik Buterin Explores Integration With Bitcoin Cash https://t.co/zzVvd9LP2E,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Rep. Kevin McCarthy Praises Bitcoin while Criticizing Libra CRYPTO CRYPTO NEWS - https://t.co/tHD4sNXY8Y,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Poloniex @Tronfoundation How to get rid of all the USDT you printed to buy Bitcoin?? ... you airdrop them as a ""gift"" - genius! _éä_","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @APompliano: Bitcoin went from the basements and black markets to the Federal Reserve, Treasury, and White House in just 10 years.We c_‹_","Sentiment(polarity=-0.08333333333333333, subjectivity=0.21666666666666667)",0,287,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merhaba ê_ncelikle belirtmeliyim 2021 son ê_eyrekte bitcoin 300.000 $ olmasã±nã± bekleyen ve hedefleyen birisi olarak y_‹_ https://t.co/2IVoRqJ1ab,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @rahulsood: @barrysilbert 1 ton of gold is worth around 63 million USD right now, I could carry 63 million worth of Bitcoin on a piece o_‹_","Sentiment(polarity=0.29523809523809524, subjectivity=0.24523809523809523)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @ChartsBtc: You are here #Bitcoin https://t.co/Rv6GaTsCuZ,"Sentiment(polarity=0.0, subjectivity=0.0)",0,7,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_é_‹ El bitcoin traerêç consecuencias devastadoras para el planeta en menos de 2 dê©cadas https://t.co/bsV9JVclJN,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @KevinLWalker: Bitcoin is like Goldhttps://t.co/ma1yRDoP0h","Sentiment(polarity=0.0, subjectivity=0.0)",0,28,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @_unwriter: This is really cool.Pay $1 with @money_button to set up a worker bot that auto-replicates your @twetchapp Bitcoin Mainnet_‹_","Sentiment(polarity=0.35, subjectivity=0.65)",0,27,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @NeedBucksNow: https://t.co/4IuPEuKeh1 I_‹_ve made $272 today! Click and join for $25 free! Get paid for sharing with check, paypal, casha_‹_","Sentiment(polarity=0.5, subjectivity=0.8)",0,4,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs Jane McGrath_‹_s invested in bitcoin and was able pay off her debt.Invest in bitcoin today! https://t.co/vDBknmYC6M","Sentiment(polarity=0.625, subjectivity=0.625)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@cdtswa @BobLoukas It_‹_s just going to take longer to convince them of it because they haven_‹_t seen inflation of the_‹_ https://t.co/LU8xtiKSeL,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This guy is right tho https://t.co/NT7JGKLCt6","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethereum's Vitalik Buterin Explores Integration With Bitcoin Cash https://t.co/zzVvd9LP2E,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Rep. Kevin McCarthy Praises Bitcoin while Criticizing Libra CRYPTO CRYPTO NEWS - https://t.co/tHD4sNXY8Y,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch: Facebook_ã_s Crypto Chief Suffers Brutal Senate Backlash https://t.co/Z54mRHzPS1  #XBT #BTC #Bitcoin,"Sentiment(polarity=-0.7375, subjectivity=0.85)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tomorrow's Peercoin(PPC) forecast is        ___UP 0% ___DOWN 0%#Peercoin, #PPCBitcoin Forecast (iOS)_ã_ https://t.co/mISowq6jGU","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top 5 #cryptocurrencies  Alert Time: 2019-07-17 00:40:02#Bitcoin: $9,626.937#Ethereum: $203.771#XRP: $0.300_ã_ https://t.co/m7u6YgCs7a","Sentiment(polarity=0.5, subjectivity=0.5)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MercadoBitcoin(BTC) =&gt; R$42300 | BlockChain(BTC) =&gt; R$36124 | MercadoBitcoin(LTC) =&gt; R$360 #bitcoin #litecoin,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @dfuhriman: Bitcoin is great. I bought $300 on Coinbase with debit card. Fees only $11.51.Sent to a friend. Coinbase delayed the tra_ã_","Sentiment(polarity=0.4, subjectivity=0.875)",0,60,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bitcoin falls over 11%, tumbling below $10,000 after Libra hearing. Bitcoin investors are concerned that lawmakers'_ã_ https://t.co/CzzG9ygFLq","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O valor do Bitcoin caiu :( - R$37500,"Sentiment(polarity=-0.75, subjectivity=1.0)",0,0,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @bopinion: ""Trump realizes that his source of his power is the U.S. dollar, if any cryptocurrency, or other currency for that matter, be_ã_","Sentiment(polarity=-0.125, subjectivity=0.375)",0,24,7/16/19 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
